route_id,route_name,origin,destination,distance_nautical_miles,transit_days,transshipments,transshipment_ports,primary_chokepoints,reliability_rating,ocean_corridor
R-CHE-ROT-01,Express Suez Direct,Chennai,Rotterdam,6500,21,0,Direct (None),Suez Canal & Bab-el-Mandeb,95,Indian Ocean - Red Sea - Mediterranean - Atlantic
R-CHE-ROT-02,Colombo Relay Feeder,Chennai,Rotterdam,6750,24,1,Port of Colombo,Suez Canal & Bab-el-Mandeb,88,Bay of Bengal - Laccadive Sea - Red Sea - Atlantic
R-CHE-ROT-03,Cape Bypass Ocean Route,Chennai,Rotterdam,10800,34,0,Direct (None),Cape of Good Hope,92,Indian Ocean - South Atlantic - North Atlantic
R-SHA-LAX-01,Trans-Pacific Express Direct,Shanghai,Los Angeles,5700,14,0,Direct (None),Pacific Ocean Corridor,96,Trans-Pacific Direct Ocean Corridor
R-SHA-LAX-02,Busan Hub Feeder Route,Shanghai,Los Angeles,6100,17,1,Busan Port,North Pacific Lane,90,East China Sea - Sea of Japan - Pacific Ocean
R-SIN-HAM-01,Suez Direct Liner,Singapore,Hamburg,8400,26,0,Direct (None),Malacca Strait & Suez Canal,94,Strait of Malacca - Indian Ocean - Suez - North Sea
R-SIN-HAM-02,Jebel Ali Transshipment,Singapore,Hamburg,8750,30,1,Jebel Ali Port,Malacca Strait & Suez Canal,87,Malacca - Persian Gulf - Suez - Atlantic
R-BOM-FEL-01,Suez Direct Express,Mumbai,Felixstowe,6300,20,0,Direct (None),Suez Canal,95,Arabian Sea - Red Sea - Mediterranean - English Channel
R-BOM-FEL-02,Salalah Relay Service,Mumbai,Felixstowe,6550,23,1,Port of Salalah,Suez Canal,89,Arabian Sea - Gulf of Aden - Suez - Atlantic
R-NGB-NYC-01,Panama Canal All-Water,Ningbo,New York,10500,32,0,Direct (None),Panama Canal,93,East China Sea - Pacific - Panama Canal - Atlantic
R-NGB-NYC-02,Suez Westbound Corridor,Ningbo,New York,11800,36,1,Port of Singapore,Suez Canal & Malacca,88,East China Sea - Malacca - Suez - Atlantic
R-CHE-SIN-01,Bay of Bengal Direct,Chennai,Singapore,1500,5,0,Direct (None),Strait of Malacca,97,Bay of Bengal - Strait of Malacca
R-CHE-LAX-01,Pacific Direct Ocean,Chennai,Los Angeles,9200,28,0,Direct (None),Pacific Ocean Trade Lane,91,Indian Ocean - Strait of Malacca - Pacific Ocean
R-TYO-LAX-01,North Pacific Express,Tokyo,Los Angeles,4800,11,0,Direct (None),North Pacific Route,98,North Pacific Ocean Corridor
R-TYO-LAX-02,Yokohama Feeder Service,Tokyo,Los Angeles,5100,13,1,Port of Yokohama,North Pacific Lane,92,Pacific Coastwise Relay Corridor
R-DXB-ROT-01,Gulf Suez Express,Dubai,Rotterdam,5400,16,0,Direct (None),Suez Canal & Strait of Hormuz,96,Persian Gulf - Red Sea - Suez - Mediterranean
R-DXB-ROT-02,Salalah Transshipment Hub,Dubai,Rotterdam,5650,19,1,Port of Salalah,Suez Canal,90,Arabian Sea - Red Sea - Suez - Atlantic
R-CHE-HAM-01,Suez Direct Hamburg,Chennai,Hamburg,6700,22,0,Direct (None),Suez Canal & Elbe River,94,Indian Ocean - Red Sea - Suez - North Sea
R-BOM-ROT-01,Arabian Suez Corridor,Mumbai,Rotterdam,6200,19,0,Direct (None),Suez Canal,95,Arabian Sea - Red Sea - Mediterranean - Atlantic
R-SHA-NYC-01,Panama Canal Express,Shanghai,New York,10600,31,0,Direct (None),Panama Canal,94,Trans-Pacific - Panama Canal - US East Coast
R-SIN-LAX-01,Trans-Pacific Liner,Singapore,Los Angeles,7800,21,0,Direct (None),Strait of Malacca & Pacific,93,South China Sea - Pacific Ocean Corridor
R-BUS-LAX-01,East Sea Direct Express,Busan,Los Angeles,5200,12,0,Direct (None),North Pacific Lane,97,Sea of Japan - Trans-Pacific Direct
R-NGB-ROT-01,Asia-Europe Suez Express,Ningbo,Rotterdam,10200,30,0,Direct (None),Suez Canal & Malacca,94,East China Sea - Malacca - Suez - Atlantic
R-DXB-NYC-01,Trans-Atlantic Gulf Express,Dubai,New York,6800,22,0,Direct (None),Suez Canal & Gibraltar,92,Persian Gulf - Suez - Mediterranean - Atlantic
R-TYO-ROT-01,Suez East Asian Liner,Tokyo,Rotterdam,11100,33,0,Direct (None),Suez Canal & Malacca,93,Pacific - South China Sea - Suez - North Sea
R-CHE-SYD-01,Indo-Australian Express,Chennai,Sydney,5300,16,0,Direct (None),Sundak / Lombok Strait,95,Indian Ocean - Timor Sea - Pacific Ocean
R-SHA-SYD-01,East Asia Oceania Line,Shanghai,Sydney,4600,14,0,Direct (None),Coral Sea Corridor,96,East China Sea - Philippine Sea - Pacific
R-DXB-SIN-01,Indian Ocean Gulf Connector,Dubai,Singapore,3400,10,0,Direct (None),Strait of Malacca,97,Persian Gulf - Arabian Sea - Malacca
R-BOM-NYC-01,Arabian Trans-Atlantic Express,Mumbai,New York,7900,25,0,Direct (None),Suez Canal & Strait of Gibraltar,93,Arabian Sea - Red Sea - Suez - Atlantic
R-SHA-ROT-01,East China Suez Express,Shanghai,Rotterdam,10500,28,0,Direct (None),Suez Canal & Malacca,95,East China Sea - Malacca - Suez - Mediterranean - Atlantic
R-SHA-ROT-02,Singapore Relay Liner,Shanghai,Rotterdam,10850,32,1,Port of Singapore,Suez Canal & Malacca,90,East China Sea - Malacca - Suez - Atlantic
R-SHA-HAM-01,Shanghai North Sea Express,Shanghai,Hamburg,10700,29,0,Direct (None),Suez Canal & Malacca,94,East China Sea - Malacca - Suez - North Sea
R-SIN-NYC-01,Strait of Malacca Trans-Atlantic,Singapore,New York,10100,29,0,Direct (None),Suez Canal,93,Malacca - Suez - Mediterranean - Atlantic
