pricing_id,route_id,cargo_type,container_type,base_freight_usd,fuel_surcharge_usd,port_charge_usd,risk_surcharge_usd,demand_factor,target_margin_percent,currency
P001,R-CHE-ROT-01,Electronics,40ft,1500,200,100,0,1.15,15.0,USD
P002,R-CHE-ROT-01,Electronics,20ft,1000,140,80,0,1.15,15.0,USD
P003,R-CHE-ROT-01,Machinery,40ft,1750,220,120,0,1.15,15.0,USD
P004,R-CHE-ROT-01,Machinery,20ft,1200,150,90,0,1.15,15.0,USD
P005,R-CHE-ROT-01,Textiles,40ft,1350,180,95,0,1.15,15.0,USD
P006,R-CHE-ROT-01,Textiles,20ft,900,130,75,0,1.15,15.0,USD
P007,R-CHE-ROT-01,General Cargo,40ft,1400,190,100,0,1.15,15.0,USD
P008,R-CHE-ROT-01,General Cargo,20ft,950,135,80,0,1.15,15.0,USD
P009,R-CHE-ROT-01,Food Products,40ft,1600,210,110,0,1.15,15.0,USD
P010,R-CHE-ROT-01,Food Products,20ft,1100,145,85,0,1.15,15.0,USD
P011,R-CHE-ROT-02,Electronics,40ft,1420,195,115,0,1.15,15.0,USD
P012,R-CHE-ROT-02,Electronics,20ft,960,135,85,0,1.15,15.0,USD
P013,R-CHE-ROT-02,Machinery,40ft,1680,215,130,0,1.15,15.0,USD
P014,R-CHE-ROT-02,Textiles,40ft,1290,175,105,0,1.15,15.0,USD
P015,R-CHE-ROT-02,General Cargo,40ft,1340,185,110,0,1.15,15.0,USD
P016,R-CHE-ROT-03,Electronics,40ft,1850,260,100,0,1.15,15.0,USD
P017,R-CHE-ROT-03,Machinery,40ft,2100,285,120,0,1.15,15.0,USD
P018,R-CHE-ROT-03,Textiles,40ft,1650,240,95,0,1.15,15.0,USD
P019,R-CHE-ROT-03,General Cargo,40ft,1720,250,100,0,1.15,15.0,USD
P020,R-CHE-HAM-01,Electronics,40ft,1550,210,105,0,1.15,15.0,USD
P021,R-CHE-HAM-01,Electronics,20ft,1030,145,80,0,1.15,15.0,USD
P022,R-CHE-HAM-01,Machinery,40ft,1800,230,125,0,1.15,15.0,USD
P023,R-CHE-HAM-01,Textiles,40ft,1400,190,100,0,1.15,15.0,USD
P024,R-CHE-HAM-01,General Cargo,40ft,1450,200,105,0,1.15,15.0,USD
P025,R-CHE-NYC-01,Electronics,40ft,2100,290,140,0,1.15,15.0,USD
P026,R-CHE-NYC-01,Electronics,20ft,1420,195,95,0,1.15,15.0,USD
P027,R-CHE-NYC-01,Machinery,40ft,2400,320,160,0,1.15,15.0,USD
P028,R-CHE-NYC-01,Textiles,40ft,1900,270,130,0,1.15,15.0,USD
P029,R-CHE-NYC-01,General Cargo,40ft,1980,280,135,0,1.15,15.0,USD
P030,R-CHE-SYD-01,Electronics,40ft,1300,175,90,0,1.15,15.0,USD
P031,R-CHE-SYD-01,Electronics,20ft,880,120,70,0,1.15,15.0,USD
P032,R-CHE-SYD-01,Machinery,40ft,1520,195,105,0,1.15,15.0,USD
P033,R-CHE-SYD-01,Textiles,40ft,1180,160,85,0,1.15,15.0,USD
P034,R-CHE-SYD-01,General Cargo,40ft,1220,165,90,0,1.15,15.0,USD
P035,R-SHA-LAX-01,Electronics,40ft,1650,225,120,0,1.15,15.0,USD
P036,R-SHA-LAX-01,Electronics,20ft,1100,155,85,0,1.15,15.0,USD
P037,R-SHA-LAX-01,Machinery,40ft,1900,250,140,0,1.15,15.0,USD
P038,R-SHA-LAX-01,Textiles,40ft,1480,200,110,0,1.15,15.0,USD
P039,R-SHA-LAX-01,General Cargo,40ft,1530,210,115,0,1.15,15.0,USD
P040,R-SHA-LAX-02,Electronics,40ft,1580,215,130,0,1.15,15.0,USD
P041,R-SIN-HAM-01,Electronics,40ft,1780,240,115,0,1.15,15.0,USD
P042,R-SIN-HAM-01,Machinery,40ft,2050,270,135,0,1.15,15.0,USD
P043,R-BOM-FEL-01,Electronics,40ft,1480,200,100,0,1.15,15.0,USD
P044,R-BOM-FEL-01,General Cargo,40ft,1360,185,95,0,1.15,15.0,USD
P045,R-NGB-NYC-01,Electronics,40ft,2250,310,150,0,1.15,15.0,USD
P046,R-NGB-NYC-01,General Cargo,40ft,2080,290,140,0,1.15,15.0,USD
P047,R-TYO-LAX-01,Electronics,40ft,1420,190,110,0,1.15,15.0,USD
P048,R-DXB-ROT-01,Electronics,40ft,1350,180,95,0,1.15,15.0,USD
P049,R-BUS-LAX-01,Electronics,40ft,1500,205,115,0,1.15,15.0,USD
P050,R-CHE-SIN-01,Electronics,40ft,650,90,50,0,1.15,15.0,USD
P051,R-CHE-SIN-01,Electronics,20ft,420,60,35,0,1.15,15.0,USD
P052,R-CHE-SIN-01,Machinery,40ft,780,110,60,0,1.15,15.0,USD
P053,R-CHE-SIN-01,Textiles,40ft,590,80,45,0,1.15,15.0,USD
P054,R-CHE-SIN-01,General Cargo,40ft,610,85,50,0,1.15,15.0,USD
P055,R-CHE-LAX-01,Electronics,40ft,2150,295,145,0,1.15,15.0,USD
P056,R-CHE-LAX-01,Machinery,40ft,2450,330,165,0,1.15,15.0,USD
P057,R-SHA-NYC-01,Electronics,40ft,2300,315,155,0,1.15,15.0,USD
P058,R-SIN-LAX-01,Electronics,40ft,1850,250,125,0,1.15,15.0,USD
P059,R-BOM-ROT-01,Electronics,40ft,1460,198,102,0,1.15,15.0,USD
P060,R-SHA-ROT-01,Electronics,40ft,1750,235,118,0,1.15,15.0,USD
P061,R-CMB-ROT-01,Electronics,40ft,1430,192,100,0,1.15,15.0,USD
P062,R-DXB-NYC-01,Electronics,40ft,1890,255,128,0,1.15,15.0,USD
P063,R-HKG-LAX-01,Electronics,40ft,1620,218,115,0,1.15,15.0,USD
P064,R-YOK-LAX-01,Electronics,40ft,1400,188,108,0,1.15,15.0,USD
P065,R-SLH-ROT-01,Electronics,40ft,1310,175,92,0,1.15,15.0,USD
P066,R-PKG-ROT-01,Electronics,40ft,1720,230,114,0,1.15,15.0,USD
P067,R-TAO-LAX-01,Electronics,40ft,1520,208,112,0,1.15,15.0,USD
P068,R-SHA-ANR-01,Electronics,40ft,1760,238,120,0,1.15,15.0,USD
P069,R-SIN-ANR-01,Electronics,40ft,1740,234,116,0,1.15,15.0,USD
P070,R-SHA-YVR-01,Electronics,40ft,1480,198,108,0,1.15,15.0,USD
